Driver_ID,AdmissionDate,Age
d1001001,09/2020,22
d1001002,12/2018,27
d1001003,12/2015,35
d1001004,06/2015,28
d1001005,12/2024,41
d1001006,10/2015,56
d1001007,11/2017,21
d1001008,12/2022,43
d1001009,01/2017,59
d1001010,05/2016,27
d1001011,04/2015,33
d1001012,08/2018,57
d1001013,05/2021,51
d1001014,10/2022,26
d1001015,10/2017,26
d1001016,10/2016,34
d1001017,03/2017,51
d1001018,08/2020,55
d1001019,02/2024,22
d1001020,05/2022,45
d1001021,11/2018,25
d1001022,06/2019,41
d1001023,09/2016,46
d1001024,05/2017,33
d1001025,03/2015,50
d1001026,05/2021,65
d1001027,06/2021,34
d1001028,12/2020,39
d1001029,12/2018,40
d1001030,03/2021,59
d1001031,06/2023,52
d1001032,10/2017,64
d1001033,03/2023,32
d1001034,06/2015,43
d1001035,05/2023,24
d1001036,08/2023,48
d1001037,05/2021,62
d1001038,04/2024,33
d1001039,01/2020,41
d1001040,02/2022,29
d1001041,12/2017,30
d1001042,11/2024,64
d1001043,02/2019,46
d1001044,05/2024,61
d1001045,11/2017,64
d1001046,08/2024,64
d1001047,09/2015,46
d1001048,11/2017,54
d1001049,01/2021,53
d1001050,01/2015,45
d1001051,12/2023,22
d1001052,12/2021,36
d1001053,02/2021,52
d1001054,02/2017,55
d1001055,08/2019,35
d1001056,09/2018,42
d1001057,01/2015,51
d1001058,09/2023,47
d1001059,11/2024,23
d1001060,02/2022,21
d1001061,11/2015,45
d1001062,04/2020,45
d1001063,09/2022,59
d1001064,11/2023,48
d1001065,12/2022,51
d1001066,02/2024,56
d1001067,03/2022,58
d1001068,09/2021,32
d1001069,12/2020,38
d1001070,07/2021,44
d1001071,08/2021,41
d1001072,03/2015,63
d1001073,06/2019,32
d1001074,10/2018,32
d1001075,03/2024,64
d1001076,10/2019,35
d1001077,03/2020,43
d1001078,01/2021,46
d1001079,03/2017,42
d1001080,06/2020,35
d1001081,05/2022,52
d1001082,11/2015,25
d1001083,10/2019,29
d1001084,09/2024,23
d1001085,01/2017,43
d1001086,03/2018,56
d1001087,10/2019,48
d1001088,09/2015,31
d1001089,10/2022,26
d1001090,08/2024,46
d1001091,10/2016,50
d1001092,02/2018,26
d1001093,02/2015,34
d1001094,06/2018,30
d1001095,09/2016,47
d1001096,04/2017,22
d1001097,10/2016,61
d1001098,11/2021,23
d1001099,07/2019,32
d1001100,03/2021,25
d1001101,03/2015,27
d1001102,11/2020,55
d1001103,12/2022,45
d1001104,05/2022,26
d1001105,05/2023,40
d1001106,09/2022,30
d1001107,06/2024,62
d1001108,04/2023,54
d1001109,11/2016,26
d1001110,04/2020,42
d1001111,08/2024,58
d1001112,01/2024,51
d1001113,12/2021,62
d1001114,05/2019,30
d1001115,07/2024,31
d1001116,11/2017,22
d1001117,05/2019,26
d1001118,12/2015,56
d1001119,11/2015,30
d1001120,06/2019,43
d1001121,09/2019,60
d1001122,12/2017,54
d1001123,12/2017,37
d1001124,01/2018,49
d1001125,04/2019,40
d1001126,07/2015,36
d1001127,04/2017,62
d1001128,04/2015,48
d1001129,12/2023,31
d1001130,12/2020,63
d1001131,09/2018,60
d1001132,05/2021,52
d1001133,04/2018,41
d1001134,10/2016,49
d1001135,09/2018,22
d1001136,05/2016,45
d1001137,02/2018,56
d1001138,07/2022,48
d1001139,04/2017,33
d1001140,05/2023,26
d1001141,10/2024,22
d1001142,03/2015,56
d1001143,09/2021,63
d1001144,01/2017,44
d1001145,06/2024,39
d1001146,09/2021,44
d1001147,08/2024,58
d1001148,01/2016,42
d1001149,11/2021,31
d1001150,03/2024,26
d1001151,01/2017,32
d1001152,05/2017,31
d1001153,04/2015,23
d1001154,03/2019,62
d1001155,10/2022,23
d1001156,02/2018,43
d1001157,09/2019,63
d1001158,11/2022,50
d1001159,12/2020,24
d1001160,12/2017,52
d1001161,12/2016,37
d1001162,12/2021,44
d1001163,05/2019,42
d1001164,10/2017,28
d1001165,12/2024,63
d1001166,10/2019,60
d1001167,01/2015,21
d1001168,07/2018,55
d1001169,11/2019,42
d1001170,06/2023,54
d1001171,04/2019,34
d1001172,03/2022,57
d1001173,12/2016,54
d1001174,08/2018,40
d1001175,01/2018,60
d1001176,01/2021,65
d1001177,11/2018,65
d1001178,03/2015,63
d1001179,04/2022,42
d1001180,10/2020,63
d1001181,07/2022,63
d1001182,12/2015,63
d1001183,07/2020,36
d1001184,10/2023,26
d1001185,05/2019,59
d1001186,04/2024,27
d1001187,03/2018,31
d1001188,04/2021,45
d1001189,12/2016,21
d1001190,06/2016,41
d1001191,08/2020,40
d1001192,05/2015,46
d1001193,10/2021,46
d1001194,09/2024,54
d1001195,02/2018,59
d1001196,01/2018,25
d1001197,01/2022,39
d1001198,03/2015,53
d1001199,01/2017,29
d1001200,08/2016,27
d1001201,10/2016,64
d1001202,11/2017,34
d1001203,11/2023,29
d1001204,01/2016,65
d1001205,06/2018,58
d1001206,12/2018,52
d1001207,02/2022,44
d1001208,10/2023,53
d1001209,07/2016,26
d1001210,07/2020,51
d1001211,08/2017,40
d1001212,03/2016,28
d1001213,05/2021,36
d1001214,08/2021,55
d1001215,09/2020,32
d1001216,12/2024,31
d1001217,11/2017,42
d1001218,02/2016,48
d1001219,02/2016,24
d1001220,11/2015,63
d1001221,09/2017,59
d1001222,06/2024,52
d1001223,04/2021,42
d1001224,11/2019,43
d1001225,11/2021,28
d1001226,09/2015,65
d1001227,01/2018,45
d1001228,10/2020,28
d1001229,06/2024,36
d1001230,12/2020,37
d1001231,12/2021,43
d1001232,04/2016,63
d1001233,11/2021,35
d1001234,10/2024,56
d1001235,12/2024,54
d1001236,11/2022,40
d1001237,11/2024,31
d1001238,09/2015,36
d1001239,10/2020,27
d1001240,12/2019,23
d1001241,08/2020,58
d1001242,11/2015,45
d1001243,04/2021,40
d1001244,07/2020,34
d1001245,10/2022,57
d1001246,05/2021,61
d1001247,12/2022,38
d1001248,03/2016,45
d1001249,12/2021,28
d1001250,10/2017,65
d1001251,12/2018,53
d1001252,10/2024,42
d1001253,06/2016,33
d1001254,05/2021,44
d1001255,03/2017,39
d1001256,10/2016,61
d1001257,07/2022,48
d1001258,01/2022,59
d1001259,07/2019,34
d1001260,01/2022,44
d1001261,09/2018,58
d1001262,05/2019,58
d1001263,04/2015,33
d1001264,08/2023,41
d1001265,03/2016,44
d1001266,09/2017,28
d1001267,11/2016,31
d1001268,05/2015,32
d1001269,10/2018,36
d1001270,04/2019,30
d1001271,11/2015,56
d1001272,10/2016,40
d1001273,10/2023,40
d1001274,01/2015,27
d1001275,10/2023,58
d1001276,01/2019,35
d1001277,10/2020,60
d1001278,02/2017,35
d1001279,11/2022,39
d1001280,02/2024,43
d1001281,07/2017,40
d1001282,05/2023,54
d1001283,09/2016,52
d1001284,09/2016,21
d1001285,12/2020,35
d1001286,03/2016,28
d1001287,03/2017,35
d1001288,12/2021,49
d1001289,12/2021,57
d1001290,12/2020,65
d1001291,09/2020,21
d1001292,04/2023,53
d1001293,01/2023,24
d1001294,03/2016,54
d1001295,06/2020,47
d1001296,05/2023,26
d1001297,07/2017,50
d1001298,02/2024,38
d1001299,10/2024,60
d1001300,06/2017,45
d1001301,10/2017,29
d1001302,07/2016,30
d1001303,03/2020,61
d1001304,10/2021,47
d1001305,08/2023,30
d1001306,07/2024,57
d1001307,08/2019,61
d1001308,07/2018,34
d1001309,08/2023,64
d1001310,03/2016,53
d1001311,02/2021,37
d1001312,08/2020,30
d1001313,08/2019,21
d1001314,11/2015,64
d1001315,03/2020,31
d1001316,08/2022,33
d1001317,09/2015,31
d1001318,01/2024,23
d1001319,01/2022,56
d1001320,10/2021,36
d1001321,06/2018,38
d1001322,03/2020,41
d1001323,04/2018,21
d1001324,05/2015,46
d1001325,07/2022,61
d1001326,10/2019,57
d1001327,03/2017,22
d1001328,07/2016,59
d1001329,07/2020,60
d1001330,07/2018,25
d1001331,12/2020,26
d1001332,01/2015,36
d1001333,05/2017,48
d1001334,11/2020,50
d1001335,12/2022,49
d1001336,10/2020,47
d1001337,11/2023,43
d1001338,10/2016,52
d1001339,11/2020,65
d1001340,03/2020,44
d1001341,05/2023,47
d1001342,08/2016,37
d1001343,05/2022,30
d1001344,04/2019,25
d1001345,12/2020,49
d1001346,02/2024,27
d1001347,03/2023,56
d1001348,08/2021,28
d1001349,09/2021,41
d1001350,11/2021,61
d1001351,12/2019,63
d1001352,12/2021,64
d1001353,04/2016,29
d1001354,01/2021,65
d1001355,09/2017,54
d1001356,11/2023,44
d1001357,12/2022,57
d1001358,01/2023,22
d1001359,04/2022,37
d1001360,07/2021,25
d1001361,09/2023,53
d1001362,08/2015,21
d1001363,08/2021,62
d1001364,05/2019,54
d1001365,06/2022,39
d1001366,06/2015,53
d1001367,09/2023,49
d1001368,06/2019,22
d1001369,08/2024,24
d1001370,07/2020,58
d1001371,08/2015,53
d1001372,04/2024,29
d1001373,10/2018,35
d1001374,06/2021,41
d1001375,02/2016,23
d1001376,12/2015,27
d1001377,06/2021,53
d1001378,04/2024,33
d1001379,09/2016,46
d1001380,02/2019,49
d1001381,10/2021,39
d1001382,11/2017,60
d1001383,06/2016,36
d1001384,09/2023,39
d1001385,01/2022,41
d1001386,08/2018,51
d1001387,03/2022,32
d1001388,10/2021,60
d1001389,03/2019,27
d1001390,10/2021,52
d1001391,09/2023,61
d1001392,06/2016,52
d1001393,09/2017,44
d1001394,01/2020,50
d1001395,04/2017,36
d1001396,11/2017,39
d1001397,03/2019,44
d1001398,03/2022,58
d1001399,12/2020,63
d1001400,03/2023,47
d1001401,10/2020,26
d1001402,11/2017,58
d1001403,01/2017,29
d1001404,11/2023,26
d1001405,04/2016,55
d1001406,08/2020,54
d1001407,07/2020,58
d1001408,01/2022,35
d1001409,07/2019,37
d1001410,12/2019,63
d1001411,04/2016,35
d1001412,01/2018,60
d1001413,03/2016,21
d1001414,05/2019,23
d1001415,09/2015,47
d1001416,12/2019,25
d1001417,12/2020,37
d1001418,12/2023,44
d1001419,02/2015,25
d1001420,10/2015,56
d1001421,09/2024,64
d1001422,11/2018,33
d1001423,11/2016,31
d1001424,06/2020,28
d1001425,10/2015,33
d1001426,11/2017,25
d1001427,02/2023,23
d1001428,03/2022,34
d1001429,07/2022,39
d1001430,09/2023,59
d1001431,06/2015,33
d1001432,07/2021,59
d1001433,08/2023,23
d1001434,10/2024,59
d1001435,12/2017,21
d1001436,07/2020,34
d1001437,05/2017,31
d1001438,08/2018,37
d1001439,03/2022,27
d1001440,10/2021,34
d1001441,08/2017,57
d1001442,05/2018,23
d1001443,01/2015,31
d1001444,01/2016,44
d1001445,03/2022,23
d1001446,11/2020,29
d1001447,12/2024,36
d1001448,12/2021,43
d1001449,10/2022,43
d1001450,02/2022,62
d1001451,05/2016,23
d1001452,01/2019,35
d1001453,12/2023,50
d1001454,02/2024,34
d1001455,05/2020,54
d1001456,01/2023,49
d1001457,07/2020,31
d1001458,05/2020,38
d1001459,01/2020,21
d1001460,06/2017,37
d1001461,01/2015,59
d1001462,01/2024,64
d1001463,07/2016,22
d1001464,12/2019,46
d1001465,08/2018,51
d1001466,11/2017,35
d1001467,02/2015,55
d1001468,07/2023,28
d1001469,05/2021,24
d1001470,12/2015,41
d1001471,06/2023,37
d1001472,09/2019,21
d1001473,12/2016,39
d1001474,12/2018,44
d1001475,07/2023,49
d1001476,08/2023,55
d1001477,10/2021,40
d1001478,09/2018,30
d1001479,08/2022,31
d1001480,03/2017,59
d1001481,11/2020,31
d1001482,04/2019,29
d1001483,10/2020,59
d1001484,10/2022,61
d1001485,10/2015,60
d1001486,07/2020,45
d1001487,01/2019,34
d1001488,01/2015,51
d1001489,02/2021,49
d1001490,06/2017,40
d1001491,10/2018,64
d1001492,12/2022,34
d1001493,06/2015,53
d1001494,03/2023,25
d1001495,11/2016,39
d1001496,01/2022,59
d1001497,01/2020,26
d1001498,05/2021,27
d1001499,07/2019,63
d1001500,10/2023,48
d1001501,09/2019,27
d1001502,06/2018,33
d1001503,09/2022,36
d1001504,01/2017,31
d1001505,04/2020,42
d1001506,07/2017,28
d1001507,11/2022,36
d1001508,04/2016,40
d1001509,08/2019,35
d1001510,09/2024,63
d1001511,05/2022,32
d1001512,01/2021,61
d1001513,07/2021,44
d1001514,12/2020,25
d1001515,09/2023,24
d1001516,05/2015,45
d1001517,12/2021,53
d1001518,05/2017,43
d1001519,03/2024,53
d1001520,01/2017,47
d1001521,03/2018,47
d1001522,10/2021,61
d1001523,11/2021,44
d1001524,03/2021,51
d1001525,05/2023,31
d1001526,08/2024,28
d1001527,02/2022,39
d1001528,05/2023,64
d1001529,05/2022,35
d1001530,07/2016,64
d1001531,09/2019,53
d1001532,06/2018,48
d1001533,06/2021,54
d1001534,01/2019,46
d1001535,01/2019,27
d1001536,07/2024,36
d1001537,11/2019,21
d1001538,07/2023,29
d1001539,07/2020,34
d1001540,07/2015,50
d1001541,03/2022,30
d1001542,12/2021,40
d1001543,06/2024,31
d1001544,05/2017,53
d1001545,09/2019,33
d1001546,06/2022,27
d1001547,02/2021,39
d1001548,03/2023,41
d1001549,06/2020,35
d1001550,05/2020,23
d1001551,09/2024,51
d1001552,06/2015,39
d1001553,03/2021,41
d1001554,08/2024,55
d1001555,01/2019,52
d1001556,03/2022,35
d1001557,08/2016,22
d1001558,07/2015,43
d1001559,07/2024,43
d1001560,12/2017,63
d1001561,06/2024,37
d1001562,04/2019,64
d1001563,08/2024,33
d1001564,07/2015,34
d1001565,11/2020,41
d1001566,01/2022,30
d1001567,04/2016,29
d1001568,11/2015,24
d1001569,03/2024,39
d1001570,12/2024,48
d1001571,07/2021,34
d1001572,05/2021,57
d1001573,12/2022,65
d1001574,11/2016,43
d1001575,01/2018,27
d1001576,02/2022,52
d1001577,03/2018,40
d1001578,07/2023,29
d1001579,07/2019,28
d1001580,05/2019,32
d1001581,11/2019,46
d1001582,03/2019,33
d1001583,10/2017,59
d1001584,01/2023,34
d1001585,02/2015,35
d1001586,02/2019,46
d1001587,05/2017,54
d1001588,09/2021,25
d1001589,04/2016,26
d1001590,01/2015,38
d1001591,06/2024,30
d1001592,10/2018,38
d1001593,11/2023,36
d1001594,08/2015,22
d1001595,07/2024,33
d1001596,05/2024,33
d1001597,05/2015,50
d1001598,08/2015,60
d1001599,05/2018,55
d1001600,09/2017,54
d1001601,10/2019,52
d1001602,11/2024,27
d1001603,09/2015,31
d1001604,07/2016,63
d1001605,01/2018,51
d1001606,08/2016,37
d1001607,11/2020,40
d1001608,04/2015,60
d1001609,12/2023,23
d1001610,05/2020,26
d1001611,08/2020,51
d1001612,02/2021,57
d1001613,03/2023,43
d1001614,10/2016,65
d1001615,03/2019,49
d1001616,11/2017,46
d1001617,12/2015,53
d1001618,07/2023,33
d1001619,07/2021,40
d1001620,02/2024,38
d1001621,09/2019,25
d1001622,03/2022,34
d1001623,05/2023,65
d1001624,05/2018,56
d1001625,11/2017,34
d1001626,06/2020,26
d1001627,03/2019,40
d1001628,08/2018,32
d1001629,04/2018,47
d1001630,08/2019,58
d1001631,05/2019,53
d1001632,02/2019,62
d1001633,08/2024,61
d1001634,06/2023,52
d1001635,07/2024,41
d1001636,07/2022,61
d1001637,04/2018,54
d1001638,03/2015,51
d1001639,03/2018,24
d1001640,07/2024,43
d1001641,03/2022,48
d1001642,06/2024,57
d1001643,11/2020,43
d1001644,05/2021,34
d1001645,01/2016,54
d1001646,03/2020,37
d1001647,05/2015,47
d1001648,12/2020,52
d1001649,01/2021,55
d1001650,11/2023,56
d1001651,09/2018,22
d1001652,11/2023,60
d1001653,03/2023,26
d1001654,10/2024,22
d1001655,03/2023,47
d1001656,08/2018,36
d1001657,08/2016,22
d1001658,04/2021,24
d1001659,10/2020,49
d1001660,05/2021,41
d1001661,12/2017,29
d1001662,07/2020,52
d1001663,08/2016,35
d1001664,03/2016,39
d1001665,12/2017,50
d1001666,01/2015,63
d1001667,11/2024,44
d1001668,08/2020,43
d1001669,08/2023,54
d1001670,05/2021,62
d1001671,07/2021,36
d1001672,07/2022,55
d1001673,04/2024,45
d1001674,09/2023,42
d1001675,04/2015,32
d1001676,12/2024,48
d1001677,06/2019,48
d1001678,04/2023,31
d1001679,07/2021,22
d1001680,01/2016,41
d1001681,10/2019,64
d1001682,01/2020,49
d1001683,04/2018,43
d1001684,08/2022,45
d1001685,08/2019,37
d1001686,01/2021,42
d1001687,02/2024,35
d1001688,02/2015,49
d1001689,09/2019,47
d1001690,11/2020,45
d1001691,01/2019,36
d1001692,01/2018,52
d1001693,05/2024,53
d1001694,04/2016,27
d1001695,12/2023,57
d1001696,02/2015,37
d1001697,01/2015,28
d1001698,06/2017,65
d1001699,11/2016,38
d1001700,08/2020,61
d1001701,03/2022,56
d1001702,06/2018,44
d1001703,03/2016,30
d1001704,10/2015,45
d1001705,05/2020,24
d1001706,09/2019,22
d1001707,09/2022,44
d1001708,12/2024,58
d1001709,11/2023,61
d1001710,07/2021,23
d1001711,11/2019,45
d1001712,10/2021,58
d1001713,02/2016,57
d1001714,05/2020,49
d1001715,02/2021,40
d1001716,10/2017,54
d1001717,07/2021,52
d1001718,06/2020,60
d1001719,09/2017,23
d1001720,01/2021,41
d1001721,03/2017,55
d1001722,11/2023,65
d1001723,11/2018,39
d1001724,05/2024,25
d1001725,10/2015,41
d1001726,10/2017,31
d1001727,12/2019,56
d1001728,09/2016,43
d1001729,12/2017,57
d1001730,06/2023,59
d1001731,03/2024,32
d1001732,05/2016,21
d1001733,05/2017,37
d1001734,03/2015,22
d1001735,08/2016,25
d1001736,02/2024,23
d1001737,05/2022,45
d1001738,06/2017,29
d1001739,11/2023,65
d1001740,06/2016,32
d1001741,11/2016,24
d1001742,05/2019,61
d1001743,09/2017,49
d1001744,06/2017,59
d1001745,02/2022,57
d1001746,03/2024,48
d1001747,05/2019,22
d1001748,11/2016,35
d1001749,03/2016,52
d1001750,06/2015,56
d1001751,07/2017,27
d1001752,05/2016,38
d1001753,11/2022,46
d1001754,09/2021,35
d1001755,02/2020,65
d1001756,02/2019,52
d1001757,02/2016,61
d1001758,02/2017,38
d1001759,01/2019,47
d1001760,12/2023,27
d1001761,01/2019,42
d1001762,09/2020,41
d1001763,11/2018,61
d1001764,01/2020,49
d1001765,07/2015,50
d1001766,04/2019,44
d1001767,01/2018,50
d1001768,10/2022,29
d1001769,12/2016,47
d1001770,10/2022,52
d1001771,08/2023,63
d1001772,11/2015,59
d1001773,02/2023,39
d1001774,09/2018,32
d1001775,04/2017,46
d1001776,07/2023,38
d1001777,11/2019,24
d1001778,01/2024,25
d1001779,06/2019,28
d1001780,09/2020,39
d1001781,05/2024,44
d1001782,03/2018,37
d1001783,03/2023,40
d1001784,09/2018,31
d1001785,12/2021,30
d1001786,01/2019,63
d1001787,06/2015,41
d1001788,04/2015,31
d1001789,10/2015,62
d1001790,02/2015,39
d1001791,04/2024,62
d1001792,09/2018,40
d1001793,07/2018,55
d1001794,05/2015,48
d1001795,03/2015,58
d1001796,04/2024,58
d1001797,01/2018,51
d1001798,12/2016,36
d1001799,12/2023,33
d1001800,10/2018,23
d1001801,11/2024,40
d1001802,08/2016,47
d1001803,08/2015,27
d1001804,08/2024,26
d1001805,02/2023,25
d1001806,02/2021,53
d1001807,10/2018,64
d1001808,09/2020,65
d1001809,08/2022,44
d1001810,05/2018,47
d1001811,09/2016,45
d1001812,04/2018,55
d1001813,07/2024,57
d1001814,12/2021,53
d1001815,09/2022,54
d1001816,03/2020,41
d1001817,01/2019,57
d1001818,09/2023,35
d1001819,10/2020,57
d1001820,06/2021,35
d1001821,03/2021,28
d1001822,04/2019,24
d1001823,09/2022,37
d1001824,11/2020,21
d1001825,03/2019,56
d1001826,03/2016,50
d1001827,08/2016,41
d1001828,05/2024,30
d1001829,03/2023,48
d1001830,01/2020,62
d1001831,04/2021,27
d1001832,11/2017,37
d1001833,06/2020,36
d1001834,08/2022,60
d1001835,05/2016,37
d1001836,03/2021,43
d1001837,11/2021,52
d1001838,05/2024,39
d1001839,06/2020,47
d1001840,09/2019,27
d1001841,12/2017,30
d1001842,04/2023,60
d1001843,11/2023,38
d1001844,10/2016,30
d1001845,02/2020,46
d1001846,08/2019,49
d1001847,12/2022,49
d1001848,11/2022,33
d1001849,03/2023,44
d1001850,10/2023,63
d1001851,12/2022,50
d1001852,10/2022,35
d1001853,12/2022,21
d1001854,08/2019,46
d1001855,04/2024,54
d1001856,09/2024,55
d1001857,10/2023,49
d1001858,05/2024,46
d1001859,07/2022,45
d1001860,01/2015,60
d1001861,05/2016,47
d1001862,01/2024,52
d1001863,01/2016,32
d1001864,11/2018,21
d1001865,04/2020,60
d1001866,08/2020,58
d1001867,02/2018,51
d1001868,09/2017,65
d1001869,10/2018,22
d1001870,10/2020,34
d1001871,06/2021,59
d1001872,05/2022,64
d1001873,06/2022,30
d1001874,01/2022,53
d1001875,03/2020,58
d1001876,04/2015,48
d1001877,04/2015,46
d1001878,05/2023,57
d1001879,11/2023,30
d1001880,02/2019,51
d1001881,07/2018,36
d1001882,08/2019,42
d1001883,08/2019,46
d1001884,10/2020,56
d1001885,05/2017,61
d1001886,11/2022,39
d1001887,09/2017,46
d1001888,02/2015,56
d1001889,09/2024,42
d1001890,04/2015,53
d1001891,01/2024,48
d1001892,12/2024,42
d1001893,02/2019,28
d1001894,03/2023,31
d1001895,02/2017,37
d1001896,03/2023,32
d1001897,02/2018,25
d1001898,09/2017,45
d1001899,10/2024,32
d1001900,07/2024,47
d1001901,04/2024,62
d1001902,07/2016,33
d1001903,05/2018,53
d1001904,12/2020,42
d1001905,04/2023,38
d1001906,03/2019,34
d1001907,09/2015,63
d1001908,08/2021,51
d1001909,10/2020,46
d1001910,04/2016,64
d1001911,01/2022,55
d1001912,10/2017,49
d1001913,12/2024,53
d1001914,05/2021,62
d1001915,07/2020,55
d1001916,07/2019,45
d1001917,02/2019,29
d1001918,07/2018,60
d1001919,03/2019,35
d1001920,09/2024,47
d1001921,07/2016,34
d1001922,05/2018,54
d1001923,03/2017,22
d1001924,01/2016,37
d1001925,05/2015,41
d1001926,01/2024,46
d1001927,07/2023,60
d1001928,01/2023,48
d1001929,08/2024,23
d1001930,11/2024,64
d1001931,08/2016,21
d1001932,09/2024,63
d1001933,04/2022,50
d1001934,01/2024,42
d1001935,09/2024,40
d1001936,04/2020,34
d1001937,07/2022,27
d1001938,04/2023,50
d1001939,10/2024,61
d1001940,08/2016,57
d1001941,08/2024,31
d1001942,12/2017,57
d1001943,11/2023,29
d1001944,06/2015,56
d1001945,12/2020,52
d1001946,11/2024,32
d1001947,11/2016,27
d1001948,09/2016,65
d1001949,06/2020,46
d1001950,12/2024,36
d1001951,10/2017,57
d1001952,02/2017,25
d1001953,05/2015,31
d1001954,08/2019,55
d1001955,07/2020,59
d1001956,09/2022,54
d1001957,08/2017,64
d1001958,07/2018,64
d1001959,01/2019,26
d1001960,11/2024,64
d1001961,03/2015,22
d1001962,05/2016,36
d1001963,12/2023,64
d1001964,06/2019,55
d1001965,11/2024,26
d1001966,01/2018,41
d1001967,05/2024,65
d1001968,10/2020,26
d1001969,07/2020,48
d1001970,12/2017,36
d1001971,01/2024,56
d1001972,01/2016,40
d1001973,06/2024,47
d1001974,06/2019,61
d1001975,12/2022,26
d1001976,06/2015,37
d1001977,06/2019,28
d1001978,01/2015,25
d1001979,06/2018,53
d1001980,03/2024,52
d1001981,08/2019,59
d1001982,01/2020,62
d1001983,10/2018,54
d1001984,11/2021,54
d1001985,09/2017,37
d1001986,06/2015,63
d1001987,11/2016,30
d1001988,11/2018,60
d1001989,05/2016,27
d1001990,12/2015,37
d1001991,06/2021,23
d1001992,02/2019,56
d1001993,04/2019,44
d1001994,08/2019,42
d1001995,07/2016,54
d1001996,07/2019,33
d1001997,09/2019,45
d1001998,06/2019,55
d1001999,01/2019,41
