Driver_ID,AdmissionDate,Age
d1002000,03/2018,63
d1002001,06/2018,34
d1002002,07/2024,51
d1002003,06/2018,45
d1002004,04/2017,51
d1002005,04/2016,37
d1002006,06/2019,24
d1002007,09/2021,60
d1002008,11/2015,59
d1002009,08/2020,21
d1002010,05/2020,25
d1002011,03/2017,65
d1002012,12/2019,38
d1002013,03/2018,40
d1002014,09/2021,55
d1002015,05/2019,40
d1002016,01/2017,43
d1002017,03/2022,40
d1002018,03/2022,63
d1002019,08/2023,30
d1002020,10/2024,53
d1002021,07/2022,49
d1002022,03/2017,21
d1002023,07/2016,38
d1002024,06/2018,63
d1002025,07/2020,64
d1002026,08/2017,62
d1002027,03/2020,44
d1002028,06/2020,56
d1002029,08/2024,53
d1002030,07/2024,55
d1002031,11/2021,56
d1002032,12/2022,34
d1002033,06/2017,32
d1002034,01/2020,41
d1002035,12/2021,44
d1002036,04/2017,48
d1002037,02/2022,22
d1002038,11/2023,40
d1002039,06/2019,60
d1002040,04/2015,62
d1002041,08/2021,52
d1002042,10/2023,24
d1002043,12/2015,37
d1002044,05/2018,45
d1002045,04/2016,60
d1002046,04/2023,65
d1002047,10/2020,21
d1002048,10/2023,21
d1002049,03/2020,40
d1002050,06/2019,50
d1002051,11/2015,48
d1002052,09/2024,43
d1002053,01/2019,59
d1002054,08/2024,21
d1002055,09/2017,31
d1002056,08/2018,32
d1002057,09/2017,60
d1002058,07/2017,28
d1002059,04/2023,58
d1002060,04/2015,45
d1002061,10/2019,64
d1002062,12/2016,40
d1002063,11/2022,58
d1002064,10/2015,37
d1002065,01/2018,61
d1002066,02/2021,27
d1002067,10/2018,45
d1002068,11/2017,65
d1002069,05/2016,43
d1002070,07/2015,46
d1002071,12/2023,40
d1002072,01/2020,39
d1002073,07/2020,63
d1002074,06/2021,52
d1002075,04/2018,34
d1002076,03/2023,52
d1002077,07/2015,53
d1002078,03/2023,38
d1002079,12/2018,27
d1002080,09/2018,53
d1002081,03/2015,30
d1002082,06/2021,31
d1002083,10/2017,54
d1002084,08/2017,45
d1002085,04/2016,31
d1002086,10/2017,55
d1002087,08/2015,36
d1002088,10/2020,38
d1002089,05/2017,23
d1002090,03/2022,35
d1002091,06/2019,46
d1002092,05/2024,46
d1002093,01/2020,57
d1002094,09/2024,25
d1002095,06/2021,41
d1002096,12/2024,55
d1002097,12/2020,42
d1002098,02/2020,41
d1002099,03/2018,59
d1002100,10/2015,50
d1002101,10/2019,58
d1002102,04/2022,54
d1002103,09/2024,44
d1002104,01/2015,27
d1002105,01/2018,34
d1002106,12/2020,29
d1002107,09/2018,23
d1002108,08/2024,60
d1002109,01/2023,49
d1002110,08/2024,64
d1002111,06/2020,38
d1002112,11/2019,48
d1002113,01/2018,63
d1002114,12/2022,63
d1002115,07/2017,21
d1002116,01/2020,46
d1002117,04/2020,49
d1002118,04/2020,52
d1002119,11/2023,58
d1002120,01/2024,36
d1002121,12/2021,54
d1002122,08/2017,53
d1002123,07/2020,55
d1002124,12/2024,39
d1002125,09/2017,46
d1002126,07/2023,24
d1002127,02/2020,29
d1002128,09/2016,57
d1002129,09/2018,27
d1002130,07/2020,56
d1002131,12/2017,32
d1002132,03/2020,51
d1002133,05/2015,49
d1002134,06/2018,57
d1002135,10/2019,32
d1002136,11/2024,24
d1002137,05/2024,38
d1002138,03/2021,34
d1002139,01/2020,63
d1002140,11/2015,39
d1002141,04/2018,55
d1002142,06/2018,30
d1002143,05/2017,28
d1002144,09/2023,33
d1002145,09/2024,58
d1002146,11/2016,49
d1002147,09/2015,58
d1002148,07/2022,59
d1002149,09/2021,53
d1002150,07/2021,40
d1002151,04/2019,61
d1002152,03/2019,57
d1002153,09/2018,63
d1002154,04/2016,31
d1002155,01/2018,43
d1002156,12/2017,65
d1002157,01/2020,45
d1002158,05/2016,26
d1002159,06/2024,61
d1002160,11/2015,65
d1002161,08/2021,58
d1002162,10/2024,28
d1002163,08/2016,50
d1002164,09/2021,35
d1002165,03/2017,22
d1002166,03/2022,35
d1002167,07/2024,24
d1002168,09/2020,42
d1002169,11/2019,23
d1002170,11/2015,38
d1002171,09/2015,47
d1002172,02/2017,44
d1002173,10/2023,41
d1002174,12/2023,44
d1002175,12/2017,51
d1002176,04/2018,34
d1002177,05/2016,22
d1002178,05/2019,22
d1002179,03/2017,34
d1002180,01/2019,36
d1002181,04/2020,33
d1002182,11/2015,44
d1002183,02/2019,55
d1002184,08/2015,34
d1002185,03/2019,60
d1002186,03/2023,58
d1002187,07/2016,39
d1002188,09/2016,57
d1002189,10/2024,26
d1002190,02/2018,35
d1002191,05/2021,24
d1002192,03/2022,27
d1002193,08/2015,34
d1002194,06/2019,55
d1002195,09/2016,64
d1002196,06/2020,26
d1002197,03/2019,23
d1002198,11/2017,30
d1002199,03/2015,59
d1002200,08/2015,53
d1002201,04/2022,60
d1002202,10/2024,39
d1002203,05/2018,25
d1002204,08/2023,33
d1002205,08/2020,58
d1002206,10/2017,64
d1002207,05/2020,45
d1002208,12/2017,57
d1002209,01/2019,39
d1002210,06/2022,39
d1002211,10/2023,44
d1002212,03/2016,44
d1002213,01/2023,47
d1002214,04/2017,37
d1002215,01/2022,25
d1002216,06/2015,21
d1002217,07/2023,63
d1002218,05/2024,33
d1002219,04/2015,61
d1002220,04/2019,41
d1002221,07/2018,55
d1002222,12/2022,25
d1002223,05/2021,61
d1002224,01/2020,52
d1002225,08/2016,54
d1002226,03/2021,58
d1002227,02/2015,56
d1002228,09/2016,44
d1002229,01/2021,30
d1002230,12/2020,36
d1002231,06/2024,44
d1002232,02/2015,24
d1002233,12/2023,41
d1002234,11/2021,48
d1002235,04/2015,27
d1002236,07/2022,43
d1002237,12/2017,58
d1002238,04/2017,36
d1002239,04/2015,50
d1002240,07/2021,48
d1002241,04/2018,46
d1002242,06/2023,59
d1002243,10/2022,54
d1002244,11/2023,36
d1002245,04/2023,35
d1002246,10/2015,65
d1002247,01/2015,61
d1002248,05/2015,31
d1002249,02/2017,64
d1002250,09/2019,47
d1002251,12/2023,50
d1002252,07/2019,59
d1002253,01/2023,22
d1002254,02/2017,61
d1002255,05/2017,21
d1002256,07/2015,51
d1002257,07/2019,64
d1002258,03/2022,43
d1002259,11/2020,53
d1002260,11/2017,63
d1002261,07/2021,43
d1002262,04/2023,34
d1002263,10/2022,35
d1002264,06/2015,29
d1002265,09/2017,27
d1002266,05/2015,42
d1002267,10/2021,60
d1002268,02/2021,57
d1002269,12/2016,49
d1002270,01/2017,32
d1002271,12/2022,44
d1002272,02/2023,37
d1002273,12/2018,44
d1002274,11/2021,34
d1002275,03/2021,41
d1002276,08/2024,35
d1002277,08/2021,24
d1002278,09/2021,58
d1002279,11/2019,51
d1002280,07/2019,40
d1002281,08/2023,43
d1002282,09/2020,29
d1002283,07/2022,27
d1002284,08/2023,56
d1002285,02/2018,22
d1002286,06/2022,58
d1002287,02/2016,39
d1002288,02/2016,30
d1002289,02/2017,45
d1002290,11/2019,37
d1002291,08/2023,25
d1002292,01/2016,46
d1002293,07/2022,50
d1002294,11/2020,59
d1002295,12/2024,50
d1002296,12/2016,27
d1002297,07/2022,58
d1002298,12/2024,56
d1002299,03/2023,40
d1002300,08/2022,49
d1002301,04/2021,50
d1002302,10/2018,27
d1002303,01/2022,44
d1002304,06/2022,52
d1002305,05/2022,41
d1002306,12/2023,30
d1002307,05/2023,65
d1002308,06/2018,35
d1002309,05/2018,30
d1002310,01/2023,35
d1002311,08/2015,51
d1002312,03/2016,49
d1002313,01/2024,58
d1002314,12/2024,45
d1002315,02/2022,51
d1002316,12/2016,39
d1002317,05/2015,24
d1002318,02/2024,36
d1002319,08/2021,39
d1002320,09/2016,24
d1002321,01/2019,39
d1002322,09/2020,63
d1002323,04/2022,58
d1002324,06/2020,40
d1002325,04/2022,51
d1002326,05/2015,47
d1002327,02/2018,37
d1002328,01/2020,44
d1002329,09/2020,30
d1002330,10/2020,34
d1002331,02/2020,44
d1002332,01/2015,45
d1002333,05/2015,41
d1002334,07/2017,22
d1002335,05/2016,56
d1002336,10/2019,44
d1002337,01/2015,24
d1002338,06/2024,65
d1002339,02/2015,41
d1002340,08/2022,39
d1002341,12/2023,50
d1002342,07/2019,42
d1002343,01/2016,61
d1002344,02/2022,64
d1002345,01/2020,21
d1002346,05/2016,60
d1002347,06/2019,49
d1002348,10/2024,65
d1002349,10/2018,27
d1002350,09/2020,26
d1002351,06/2015,42
d1002352,11/2023,23
d1002353,12/2018,38
d1002354,02/2019,21
d1002355,12/2021,33
d1002356,07/2024,44
d1002357,12/2016,39
d1002358,06/2015,35
d1002359,10/2021,64
d1002360,12/2023,65
d1002361,06/2018,31
d1002362,03/2019,45
d1002363,07/2016,38
d1002364,09/2018,46
d1002365,06/2016,28
d1002366,06/2018,53
d1002367,02/2024,36
d1002368,02/2022,25
d1002369,04/2017,44
d1002370,10/2023,35
d1002371,10/2015,51
d1002372,01/2023,40
d1002373,07/2017,52
d1002374,11/2017,28
d1002375,06/2017,42
d1002376,06/2017,22
d1002377,07/2024,38
d1002378,05/2016,22
d1002379,03/2018,22
d1002380,12/2024,37
d1002381,08/2015,64
d1002382,09/2015,41
d1002383,06/2016,29
d1002384,08/2022,53
d1002385,04/2022,43
d1002386,05/2023,42
d1002387,12/2020,63
d1002388,12/2018,22
d1002389,02/2017,62
d1002390,07/2023,60
d1002391,09/2016,46
d1002392,10/2024,47
d1002393,09/2018,62
d1002394,08/2022,51
d1002395,10/2024,52
d1002396,04/2022,26
d1002397,04/2021,42
d1002398,03/2016,48
d1002399,06/2017,36
d1002400,08/2023,54
d1002401,12/2024,41
d1002402,08/2016,51
d1002403,03/2016,33
d1002404,05/2016,31
d1002405,01/2018,33
d1002406,08/2020,61
d1002407,11/2020,29
d1002408,10/2016,36
d1002409,08/2019,53
d1002410,06/2023,41
d1002411,06/2024,65
d1002412,04/2023,53
d1002413,06/2022,45
d1002414,08/2015,61
d1002415,04/2020,62
d1002416,01/2021,57
d1002417,12/2015,65
d1002418,11/2021,35
d1002419,12/2023,63
d1002420,04/2018,54
d1002421,08/2022,55
d1002422,11/2017,34
d1002423,09/2016,56
d1002424,04/2015,26
d1002425,06/2019,45
d1002426,07/2020,43
d1002427,04/2018,54
d1002428,01/2019,62
d1002429,01/2021,57
d1002430,07/2018,42
d1002431,02/2015,22
d1002432,04/2019,46
d1002433,12/2020,31
d1002434,08/2018,46
d1002435,07/2015,62
d1002436,06/2020,65
d1002437,04/2019,24
d1002438,01/2016,31
d1002439,09/2023,41
d1002440,03/2022,62
d1002441,11/2024,29
d1002442,05/2023,34
d1002443,09/2020,43
d1002444,08/2023,42
d1002445,07/2023,46
d1002446,09/2017,55
d1002447,06/2015,28
d1002448,08/2023,38
d1002449,09/2024,41
d1002450,05/2020,23
d1002451,08/2018,34
d1002452,08/2021,30
d1002453,08/2020,37
d1002454,09/2022,59
d1002455,02/2019,29
d1002456,02/2015,33
d1002457,10/2022,34
d1002458,02/2022,38
d1002459,09/2017,47
d1002460,07/2015,48
d1002461,10/2021,57
d1002462,07/2019,42
d1002463,05/2023,60
d1002464,08/2017,37
d1002465,07/2016,41
d1002466,08/2019,60
d1002467,01/2019,30
d1002468,01/2020,51
d1002469,01/2022,39
d1002470,08/2021,34
d1002471,11/2021,31
d1002472,04/2023,54
d1002473,10/2015,25
d1002474,09/2018,57
d1002475,09/2024,22
d1002476,02/2018,25
d1002477,12/2018,56
d1002478,10/2019,56
d1002479,01/2024,31
d1002480,10/2024,35
d1002481,04/2015,65
d1002482,12/2015,37
d1002483,11/2017,34
d1002484,11/2017,23
d1002485,08/2018,53
d1002486,10/2018,37
d1002487,05/2022,41
d1002488,09/2015,61
d1002489,07/2016,55
d1002490,01/2023,37
d1002491,04/2021,23
d1002492,12/2024,30
d1002493,06/2018,23
d1002494,07/2015,56
d1002495,07/2021,33
d1002496,04/2016,51
d1002497,12/2017,44
d1002498,02/2015,32
d1002499,07/2021,62
d1002500,11/2019,51
d1002501,09/2020,55
d1002502,07/2016,63
d1002503,05/2015,61
d1002504,08/2017,21
d1002505,01/2017,40
d1002506,08/2022,54
d1002507,02/2021,21
d1002508,08/2021,61
d1002509,09/2015,35
d1002510,06/2019,65
d1002511,11/2016,48
d1002512,07/2019,23
d1002513,09/2019,58
d1002514,08/2015,28
d1002515,12/2024,30
d1002516,03/2017,21
d1002517,09/2020,58
d1002518,10/2017,62
d1002519,05/2020,48
d1002520,06/2024,56
d1002521,04/2020,43
d1002522,06/2018,23
d1002523,05/2024,63
d1002524,06/2020,34
d1002525,12/2017,51
d1002526,03/2019,56
d1002527,01/2016,30
d1002528,10/2021,56
d1002529,06/2015,38
d1002530,10/2018,55
d1002531,01/2019,27
d1002532,01/2020,55
d1002533,11/2024,48
d1002534,01/2023,56
d1002535,08/2022,26
d1002536,10/2018,61
d1002537,03/2015,44
d1002538,09/2020,40
d1002539,11/2020,31
d1002540,09/2020,45
d1002541,07/2016,64
d1002542,08/2017,63
d1002543,03/2016,57
d1002544,11/2017,33
d1002545,12/2022,36
d1002546,03/2020,45
d1002547,06/2016,28
d1002548,09/2024,37
d1002549,07/2024,41
d1002550,05/2022,41
d1002551,02/2019,47
d1002552,03/2019,50
d1002553,11/2015,21
d1002554,09/2021,27
d1002555,01/2017,35
d1002556,09/2020,49
d1002557,05/2015,49
d1002558,05/2018,61
d1002559,06/2018,22
d1002560,12/2017,29
d1002561,07/2024,61
d1002562,11/2018,38
d1002563,01/2021,51
d1002564,05/2023,35
d1002565,11/2024,42
d1002566,09/2021,56
d1002567,09/2015,50
d1002568,10/2017,34
d1002569,09/2017,26
d1002570,09/2022,62
d1002571,03/2016,22
d1002572,05/2015,27
d1002573,07/2024,55
d1002574,04/2022,40
d1002575,05/2022,31
d1002576,11/2022,50
d1002577,08/2021,52
d1002578,11/2019,27
d1002579,08/2024,47
d1002580,04/2021,59
d1002581,10/2019,25
d1002582,06/2019,35
d1002583,08/2020,26
d1002584,07/2021,42
d1002585,08/2019,64
d1002586,02/2018,40
d1002587,12/2024,51
d1002588,01/2016,36
d1002589,08/2018,38
d1002590,04/2020,27
d1002591,04/2017,41
d1002592,10/2024,46
d1002593,04/2015,49
d1002594,01/2020,24
d1002595,12/2018,24
d1002596,01/2016,28
d1002597,11/2016,49
d1002598,01/2018,64
d1002599,08/2022,45
d1002600,07/2023,54
d1002601,01/2024,29
d1002602,12/2023,38
d1002603,02/2021,28
d1002604,02/2015,33
d1002605,06/2018,56
d1002606,03/2023,40
d1002607,08/2019,62
d1002608,03/2015,44
d1002609,06/2024,65
d1002610,04/2016,43
d1002611,09/2022,40
d1002612,10/2016,56
d1002613,06/2017,32
d1002614,08/2015,45
d1002615,10/2021,43
d1002616,05/2018,25
d1002617,07/2020,33
d1002618,07/2018,60
d1002619,07/2024,44
d1002620,07/2016,63
d1002621,03/2022,28
d1002622,02/2020,23
d1002623,01/2016,26
d1002624,12/2020,35
d1002625,11/2022,27
d1002626,03/2017,65
d1002627,07/2024,61
d1002628,10/2017,62
d1002629,09/2023,63
d1002630,07/2016,47
d1002631,02/2020,47
d1002632,08/2024,63
d1002633,05/2016,40
d1002634,07/2021,26
d1002635,02/2019,55
d1002636,04/2018,45
d1002637,04/2018,32
d1002638,06/2019,59
d1002639,01/2021,35
d1002640,01/2021,47
d1002641,12/2017,31
d1002642,03/2023,29
d1002643,04/2022,22
d1002644,11/2023,59
d1002645,02/2019,59
d1002646,04/2018,30
d1002647,09/2016,44
d1002648,01/2024,38
d1002649,06/2022,50
d1002650,07/2019,57
d1002651,10/2018,44
d1002652,01/2023,23
d1002653,03/2015,34
d1002654,02/2021,63
d1002655,05/2024,51
d1002656,08/2021,53
d1002657,07/2019,51
d1002658,02/2023,53
d1002659,08/2017,44
d1002660,02/2023,23
d1002661,06/2016,39
d1002662,09/2018,61
d1002663,03/2018,42
d1002664,10/2018,39
d1002665,05/2019,60
d1002666,03/2019,32
d1002667,11/2023,44
d1002668,11/2024,64
d1002669,11/2022,55
d1002670,09/2024,34
d1002671,08/2015,60
d1002672,07/2016,47
d1002673,10/2016,22
d1002674,01/2023,63
d1002675,05/2018,23
d1002676,06/2015,39
d1002677,02/2018,56
d1002678,06/2024,58
d1002679,12/2017,21
d1002680,05/2016,64
d1002681,08/2020,36
d1002682,01/2017,53
d1002683,03/2024,59
d1002684,11/2020,26
d1002685,04/2018,56
d1002686,04/2023,59
d1002687,01/2017,29
d1002688,04/2019,58
d1002689,04/2018,28
d1002690,05/2018,41
d1002691,02/2023,45
d1002692,12/2019,59
d1002693,10/2021,51
d1002694,01/2024,64
d1002695,08/2024,48
d1002696,04/2023,44
d1002697,08/2019,54
d1002698,08/2018,50
d1002699,03/2021,31
d1002700,02/2021,35
d1002701,09/2017,62
d1002702,09/2023,33
d1002703,02/2022,32
d1002704,01/2019,52
d1002705,11/2021,37
d1002706,05/2019,30
d1002707,05/2021,41
d1002708,11/2019,38
d1002709,12/2018,43
d1002710,03/2022,46
d1002711,03/2015,46
d1002712,06/2020,37
d1002713,10/2016,25
d1002714,09/2018,57
d1002715,08/2015,31
d1002716,09/2023,41
d1002717,04/2019,23
d1002718,01/2021,58
d1002719,07/2023,53
d1002720,02/2015,37
d1002721,01/2021,37
d1002722,03/2019,48
d1002723,08/2024,42
d1002724,05/2021,39
d1002725,02/2022,23
d1002726,07/2017,47
d1002727,11/2016,60
d1002728,08/2020,31
d1002729,05/2024,52
d1002730,03/2016,39
d1002731,06/2019,43
d1002732,10/2018,49
d1002733,06/2015,37
d1002734,11/2020,57
d1002735,02/2016,60
d1002736,02/2016,30
d1002737,10/2021,58
d1002738,07/2015,31
d1002739,10/2021,52
d1002740,12/2019,22
d1002741,03/2023,65
d1002742,03/2024,31
d1002743,02/2021,64
d1002744,09/2016,31
d1002745,10/2023,29
d1002746,01/2019,30
d1002747,05/2021,64
d1002748,10/2018,45
d1002749,07/2020,40
d1002750,04/2022,38
d1002751,03/2021,35
d1002752,10/2019,54
d1002753,08/2019,25
d1002754,05/2024,22
d1002755,03/2016,63
d1002756,06/2023,32
d1002757,07/2019,39
d1002758,02/2024,54
d1002759,03/2015,65
d1002760,06/2015,33
d1002761,12/2020,53
d1002762,11/2016,42
d1002763,04/2020,51
d1002764,05/2018,49
d1002765,11/2023,37
d1002766,09/2015,49
d1002767,02/2015,52
d1002768,04/2015,60
d1002769,07/2017,33
d1002770,10/2015,49
d1002771,08/2019,41
d1002772,06/2020,40
d1002773,11/2022,59
d1002774,06/2019,48
d1002775,02/2018,44
d1002776,07/2020,56
d1002777,12/2015,33
d1002778,12/2020,38
d1002779,07/2015,26
d1002780,04/2016,22
d1002781,09/2019,58
d1002782,08/2017,52
d1002783,01/2023,58
d1002784,05/2017,51
d1002785,01/2016,27
d1002786,06/2017,40
d1002787,07/2023,55
d1002788,07/2015,34
d1002789,01/2017,41
d1002790,03/2020,64
d1002791,04/2015,31
d1002792,12/2017,29
d1002793,02/2017,61
d1002794,07/2020,62
d1002795,03/2020,50
d1002796,05/2018,39
d1002797,03/2023,45
d1002798,02/2023,34
d1002799,03/2015,62
d1002800,08/2022,46
d1002801,06/2021,46
d1002802,03/2023,51
d1002803,11/2015,50
d1002804,01/2017,26
d1002805,06/2021,52
d1002806,01/2015,38
d1002807,08/2018,51
d1002808,09/2023,34
d1002809,06/2023,27
d1002810,05/2019,51
d1002811,01/2024,21
d1002812,11/2016,52
d1002813,03/2016,31
d1002814,12/2022,37
d1002815,09/2016,30
d1002816,12/2018,62
d1002817,08/2017,22
d1002818,09/2016,23
d1002819,04/2020,63
d1002820,04/2021,24
d1002821,04/2016,28
d1002822,06/2018,44
d1002823,03/2018,24
d1002824,05/2023,48
d1002825,10/2024,26
d1002826,12/2023,43
d1002827,03/2022,50
d1002828,12/2024,52
d1002829,09/2018,43
d1002830,01/2015,54
d1002831,09/2021,25
d1002832,09/2023,34
d1002833,11/2018,44
d1002834,11/2018,21
d1002835,06/2017,60
d1002836,12/2017,43
d1002837,04/2016,57
d1002838,08/2016,59
d1002839,11/2017,47
d1002840,08/2019,58
d1002841,08/2016,31
d1002842,02/2019,60
d1002843,12/2024,32
d1002844,08/2015,55
d1002845,08/2016,37
d1002846,01/2018,37
d1002847,06/2023,26
d1002848,06/2017,43
d1002849,05/2019,61
d1002850,10/2016,42
d1002851,01/2015,41
d1002852,11/2021,47
d1002853,03/2018,58
d1002854,11/2017,39
d1002855,05/2023,26
d1002856,01/2022,56
d1002857,12/2024,25
d1002858,10/2021,33
d1002859,01/2022,35
d1002860,09/2024,46
d1002861,07/2019,44
d1002862,04/2021,53
d1002863,08/2022,62
d1002864,06/2022,56
d1002865,10/2017,44
d1002866,08/2015,33
d1002867,02/2019,52
d1002868,12/2023,46
d1002869,04/2023,57
d1002870,03/2019,26
d1002871,09/2019,33
d1002872,05/2022,37
d1002873,10/2018,31
d1002874,08/2018,51
d1002875,09/2017,26
d1002876,08/2022,32
d1002877,09/2023,26
d1002878,11/2016,53
d1002879,04/2019,32
d1002880,11/2015,35
d1002881,05/2023,59
d1002882,03/2024,30
d1002883,01/2017,58
d1002884,04/2022,31
d1002885,11/2019,30
d1002886,03/2022,31
d1002887,06/2020,64
d1002888,02/2016,65
d1002889,07/2023,43
d1002890,12/2018,45
d1002891,08/2022,31
d1002892,01/2016,46
d1002893,06/2018,57
d1002894,08/2016,35
d1002895,04/2024,37
d1002896,05/2020,46
d1002897,07/2019,56
d1002898,02/2020,60
d1002899,12/2022,42
d1002900,11/2018,37
d1002901,09/2023,34
d1002902,12/2020,45
d1002903,06/2024,32
d1002904,12/2021,65
d1002905,07/2023,38
d1002906,02/2019,25
d1002907,10/2016,32
d1002908,11/2022,63
d1002909,03/2022,43
d1002910,12/2019,45
d1002911,07/2024,38
d1002912,03/2016,63
d1002913,07/2019,65
d1002914,04/2023,52
d1002915,11/2024,54
d1002916,11/2019,62
d1002917,07/2024,23
d1002918,10/2020,65
d1002919,05/2015,38
d1002920,04/2016,62
d1002921,08/2020,48
d1002922,08/2017,39
d1002923,11/2019,65
d1002924,12/2021,21
d1002925,07/2020,25
d1002926,10/2022,33
d1002927,03/2015,31
d1002928,02/2023,50
d1002929,11/2024,59
d1002930,06/2016,55
d1002931,02/2022,39
d1002932,04/2015,62
d1002933,01/2017,54
d1002934,07/2016,49
d1002935,12/2017,61
d1002936,12/2024,59
d1002937,09/2021,54
d1002938,01/2017,46
d1002939,04/2024,43
d1002940,09/2019,53
d1002941,06/2022,30
d1002942,02/2015,51
d1002943,12/2023,51
d1002944,05/2021,38
d1002945,05/2024,31
d1002946,07/2024,59
d1002947,11/2021,39
d1002948,01/2015,21
d1002949,04/2023,62
d1002950,06/2022,25
d1002951,02/2020,40
d1002952,01/2015,30
d1002953,08/2018,53
d1002954,12/2019,47
d1002955,04/2022,35
d1002956,11/2024,50
d1002957,05/2023,21
d1002958,12/2016,57
d1002959,05/2022,32
d1002960,08/2016,32
d1002961,06/2016,28
d1002962,08/2017,37
d1002963,01/2015,61
d1002964,01/2016,30
d1002965,07/2015,44
d1002966,03/2024,48
d1002967,04/2018,62
d1002968,06/2021,29
d1002969,10/2022,43
d1002970,10/2015,48
d1002971,09/2023,32
d1002972,01/2016,54
d1002973,12/2017,60
d1002974,05/2015,40
d1002975,10/2024,23
d1002976,09/2024,46
d1002977,07/2019,42
d1002978,03/2024,26
d1002979,06/2024,37
d1002980,09/2019,26
d1002981,11/2024,62
d1002982,07/2019,44
d1002983,01/2019,30
d1002984,06/2023,45
d1002985,06/2015,42
d1002986,09/2024,64
d1002987,06/2016,51
d1002988,12/2020,49
d1002989,06/2023,50
d1002990,01/2020,62
d1002991,10/2017,63
d1002992,04/2018,28
d1002993,11/2020,27
d1002994,04/2017,23
d1002995,01/2019,23
d1002996,07/2024,39
d1002997,01/2016,32
d1002998,10/2019,22
d1002999,05/2020,32
d1003000,11/2023,43
